dkp,product_name,description,classes,stocked
3270052,درپوش سر کمک فنر نیکوپخش کد 52001020 مناسب برای ال90 بسته 2 عددی,,"['خودرو، ابزار و تجهیزات صنعتی', 'لوازم مصرفی خودرو', 'لوازم یدکی خودرو', 'جلوبندی و تعلیق']",True
3270053,روان نویس طرح جوجه کد 08,,"['کتاب، لوازم تحریر و هنر', 'لوازم تحریر', 'نوشت افزار', 'خودکار و روان نویس']",False
3270054,جاکلیدی طرح بلک پینک کد 40050,                                پیکسل جاکلیدی را می توان کاربردی ترین نوع پیکسل معرفی کرد. این روزها حتی افراد کم سن و سال تر خانواده ها هم یک کلید دارند و نیاز به جاکلیدی بیشتر احساس میشود و یا شما میتونید طرح های مورد علاقه خودتان یا کسی که طرف دارش هستید را به زیپ کیف وصل کنید تا زیبایی بیشتری را متوجه خودتان کنید. ,"['مد و پوشاک', 'زنانه و مردانه', 'اکسسوری زنانه و مردانه', 'زیورآلات زنانه و مردانه', 'جاکلیدی زنانه و مردانه']",False
3270055, گیره پیچ دستی کد 40 ,,"['خودرو، ابزار و تجهیزات صنعتی', 'ابزار غیر برقی', 'ابزار دستی', 'گیره و پیچ دستی']",True
3270056,پوستر دیواری کد BG664-1,                                در کاغذ دیواری سفارشی با طرح هایی مانند : شهر، جنگل، دریا، پرتره و ... کیفیت چاپ بسیار مهم می باشد چرا که حس وجود منظره ای دلنشین در منزل و محل کار را به شما القا می کند و همچنین این تصاویر می بایست نسبت به نور مقاوم بوده و قابل شستشو باشد. امروزه در دکوراسیون داخلی، بسیار از این کاغذ دیواری ها استفاده می شوند با جلوه زیباتر، جنس این کاغذهای دیواری ترکیبی از کاغذ، روکش های PVC و یا پلی اورتان می باشد که باعث کیفیت بی نظیر و شستشو پذیری این محصول می شود.,"['خانه و آشپزخانه', 'دکوراتیو', 'کفپوش و دیوارپوش', 'پوستر و کاغذ دیواری']",False
3270057,تی شرت آستین کوتاه مردانه زیزیپ طرح جغد کد 1976T,,"['مد و پوشاک', 'مردانه', 'لباس مردانه', 'تی شرت و پولوشرت مردانه']",True
3270059,سطل زباله پدالی گالکسی کد 7884 ,,"['خانه و آشپزخانه', 'شستشو و نظافت', 'ابزار نظافت', 'سطل']",True
3270060,کیف حمل دسته بازی مدل The Punisher,,"['خانه و آشپزخانه', 'صوتی و تصویری', 'کنسول بازی', 'لوازم جانبی کنسول بازی']",False
3270061,جامدادی کد 1433,,"['کتاب، لوازم تحریر و هنر', 'لوازم تحریر', 'کیف، کوله و جامدادی', 'جامدادی']",False
3270063,روکش صندلی خودرو مدل 2022 مناسب برای پژو 206,,"['خودرو، ابزار و تجهیزات صنعتی', 'لوازم جانبی خودرو', 'لوازم تزئینی خودرو', 'روکش صندلی خودرو']",False
